         3929067 function calls (3923283 primitive calls) in 26.767 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1349/310    0.001    0.000    0.179    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      593    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      380    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      380    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
      380    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      593    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      376    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      213    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    484/5    0.000    0.000    0.235    0.047 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     3437    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      357    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      357    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      357    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
     1416    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      318    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      376    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      657    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:403(cached)
      811    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      357    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       23    0.000    0.000    0.014    0.001 <frozen importlib._bootstrap>:433(spec_from_loader)
      357    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  358/355    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      376    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:634(_load_backward_compatible)
    363/5    0.001    0.000    0.237    0.047 <frozen importlib._bootstrap>:663(_load_unlocked)
      371    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:740(create_module)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
      593    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      353    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
     1087    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
     1087    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
       10    0.000    0.000    0.014    0.001 <frozen importlib._bootstrap>:873(_find_spec_legacy)
  371/351    0.002    0.000    0.060    0.000 <frozen importlib._bootstrap>:882(_find_spec)
    380/5    0.001    0.000    0.238    0.048 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    380/5    0.002    0.000    0.238    0.048 <frozen importlib._bootstrap>:978(_find_and_load)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
    22/21    0.000    0.000    0.014    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
       40    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
